region_id,point,side,name,x,y,z
,452,right,Orbital Oculi,0.5771875,0.492246094,
,453,right,Orbital Oculi,0.560380859,0.485126953,
,454,right,Zygomaticus Major,0.789814453,0.517617188,
,455,right,Nasalis Transverse,0.560527344,0.629951172,
,456,right,Compressor Narium Minor,0.535810547,0.546503906,
,457,right,Dilator Naris Anterior,0.532636719,0.612138672,
,458,right,Dilator Naris Anterior,0.519638672,0.625380859,
,459,right,Dilator Naris Anterior,0.530302734,0.617529297,
,460,right,Nasalis Alar,0.553613281,0.640849609,
,461,right,Columella,0.512792969,0.629394531,
,462,right,Columella,0.511777344,0.637802734,
,463,right,Medial Palpebral Ligament,0.566933594,0.464902344,
,464,right,Orbital Oculi,0.549697266,0.472167969,
,465,right,Levator Labii Superioris Alaque Nasi,0.538876953,0.477578125,
,466,right,Orbiculi Pelperbal,0.690410156,0.447099609,
,467,right,Lateral Palpebral Ligament,0.711484375,0.440976563,
,468,right,Orbiculi Pelperbal,0.359648438,0.442646484,
,469,right,Orbiculi Pelperbal,0.388134766,0.442880859,
,470,right,Orbiculi Pelperbal,0.359453125,0.419501953,
,471,right,Orbiculi Pelperbal,0.331640625,0.442646484,
,472,right,Orbiculi Pelperbal,0.361552734,0.469111328,
,473,right,Orbiculi Pelperbal,0.639091797,0.443564453,
,474,right,Orbiculi Pelperbal,0.667099609,0.444736328,
,475,right,Orbiculi Pelperbal,0.637714844,0.419892578,
,476,right,Orbiculi Pelperbal,0.609677734,0.442744141,
,477,right,Orbiculi Pelperbal,0.63671875,0.469882813,
