point,side,name,landmark_coords,id
465,right,levator_labii_superioris_alaque_nasi,"[0.538876953125, 0.477578125]",
417,right,levator_labii_superioris_alaque_nasi,"[0.52833984375, 0.447666015625]",
453,right,orbital_oculi,"[0.560380859375, 0.485126953125]",
452,right,orbital_oculi,"[0.5771875, 0.49224609375]",
451,right,orbiculi_pelperbal,"[0.602255859375, 0.50064453125]",
450,right,orbiculi_pelperbal,"[0.63486328125, 0.508486328125]",
449,right,orbiculi_pelperbal,"[0.67033203125, 0.508623046875]",
448,right,orbiculi_pelperbal,"[0.69810546875, 0.50107421875]",
412,right,levator_labii_superioris_alaque_nasi,"[0.538134765625, 0.494697265625]",
419,right,nasalis_transverse,"[0.520283203125, 0.50923828125]",
440,right,compressor_narium_minor,"[0.53861328125, 0.595498046875]",
439,right,nasalis_transverse,"[0.561240234375, 0.622451171875]",
455,right,nasalis_transverse,"[0.56052734375, 0.629951171875]",
460,right,nasalis_alar,"[0.55361328125, 0.640849609375]",
462,right,columella,"[0.51177734375, 0.637802734375]",
438,right,nasalis_transverse,"[0.55138671875, 0.609560546875]",
457,right,dilator_naris_anterior,"[0.53263671875, 0.612138671875]",
466,right,orbiculi_pelperbal,"[0.69041015625, 0.447099609375]",
477,right,orbiculi_pelperbal,"[0.63671875, 0.4698828125]",
414,right,orbiculi_pelperbal,"[0.568359375, 0.446240234375]",
413,right,orbital_oculi,"[0.55197265625, 0.445673828125]",
441,right,orbiculi_pelperbal,"[0.573056640625, 0.42259765625]",
442,right,orbital_oculi,"[0.618916015625, 0.407216796875]",
443,right,orbital_oculi,"[0.66263671875, 0.4059375]",
444,right,orbiculi_pelperbal,"[0.693115234375, 0.412060546875]",
445,right,orbital_oculi,"[0.715048828125, 0.42345703125]",
437,right,nasalis_transverse,"[0.55203125, 0.53888671875]",
456,right,compressor_narium_minor,"[0.535810546875, 0.54650390625]",
420,right,nasalis_transverse,"[0.55044921875, 0.563984375]",
429,right,nasalis_transverse,"[0.56521484375, 0.57896484375]",
454,right,zygomaticus_major,"[0.789814453125, 0.5176171875]",
476,right,orbiculi_pelperbal,"[0.609677734375, 0.442744140625]",
473,right,orbiculi_pelperbal,"[0.639091796875, 0.443564453125]",
474,right,orbiculi_pelperbal,"[0.667099609375, 0.444736328125]",
423,right,levator_labii_superioris,"[0.600556640625, 0.63654296875]",
426,right,zygomaticus_minor,"[0.626337890625, 0.66271484375]",
425,right,zygomaticus_minor,"[0.661201171875, 0.63107421875]",
436,right,zygomaticus_major,"[0.645888671875, 0.698876953125]",
427,right,zygomaticus_major,"[0.681240234375, 0.673681640625]",
411,right,zygomaticus_major,"[0.711220703125, 0.650146484375]",
401,right,masseter,"[0.758291015625, 0.639501953125]",
433,right,masseter,"[0.732802734375, 0.678271484375]",
435,right,buccinator,"[0.744521484375, 0.696533203125]",
416,right,masseter,"[0.712783203125, 0.714697265625]",
434,right,risorius,"[0.686220703125, 0.746826171875]",
430,right,platysma,"[0.657900390625, 0.797607421875]",
431,right,depressor_anguli_oris,"[0.626552734375, 0.828564453125]",
428,right,mentalis,"[0.545791015625, 0.872705078125]",
421,right,mentalis,"[0.536904296875, 0.841650390625]",
418,right,obicularis_oris,"[0.578603515625, 0.827587890625]",
424,right,depressor_labii_inferioris,"[0.610537109375, 0.807666015625]",
422,right,depressor_anguli_oris,"[0.638466796875, 0.779638671875]",
432,right,risorius,"[0.656435546875, 0.745361328125]",
415,right,tubercles_upper,"[0.580009765625, 0.74837890625]",
409,right,tubercles_upper,"[0.595244140625, 0.74193359375]",
410,right,zygomaticus_major,"[0.61908203125, 0.720361328125]",
402,right,tubercles_lower,"[0.54173828125, 0.746337890625]",
403,right,tubercles_lower,"[0.5469140625, 0.756298828125]",
404,right,vermillion_lower,"[0.55091796875, 0.769384765625]",
405,right,vermillion_lower,"[0.55384765625, 0.783642578125]",
406,right,depressor_labii_inferioris,"[0.56400390625, 0.804443359375]",
475,right,orbiculi_pelperbal,"[0.63771484375, 0.419892578125]",
470,right,orbiculi_pelperbal,"[0.359453125, 0.419501953125]",
472,right,orbiculi_pelperbal,"[0.361552734375, 0.469111328125]",
471,right,orbiculi_pelperbal,"[0.331640625, 0.442646484375]",
468,right,orbiculi_pelperbal,"[0.3596484375, 0.442646484375]",
469,right,orbiculi_pelperbal,"[0.388134765625, 0.442880859375]",
447,right,zygomaticus_major,"[0.779267578125, 0.5223046875]",
400,right,depressor_labii_inferioris,"[0.591796875, 0.90078125]",
